season,score,accuracy
1989,3.0000000000000004,0.6000000000000001
1996,3.8,0.76
2001,1.0,0.2
2003,3.4000000000000004,0.68
2005,1.8,0.36
2011,2.8000000000000003,0.56
2021,3.2,0.64
