Model,Accuracy Score,Possible Score,Accuracy,NDCG@5
Linear Regression,17.599999999999998,35,0.5028571428571428,0.5798956334897262
Random Forest,21.8,35,0.6228571428571429,0.681392868319022
Gradient Boosting,20.999999999999996,35,0.5999999999999999,0.6780340464912932
