season,num_players,num_vote_getters,mse,mae,r2
1982,76.0,25.0,0.008496278328492679,0.03903545153278269,0.361106099389102
1988,82.0,17.0,0.009140360600117471,0.03521778196732445,0.4957939901600573
2006,93.0,11.0,0.020912389143913492,0.05608115291371141,-0.5687167022366133
2007,99.0,15.0,0.01330529579271809,0.05044931266757876,0.15979875261362042
2010,108.0,15.0,0.007365103054428385,0.035533487034823605,0.48586634224147374
2011,100.0,13.0,0.010769558057546279,0.043462194614112375,0.28871318321010486
2021,64.0,10.0,0.005308033539673051,0.031949178683338686,0.7178063066887779
