season,player,pos,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,award_share,mov,mov_adj,win_loss_pct,MVP_rank,era
1982,Kareem Abdul-Jabbar,C,34,LAL,-0.28108350782628505,0.3868578506219753,0.4943715266415937,1.6068918384246509,0.9148049927854988,0.579,-0.5514691906311875,-0.7882024229248512,0.0,1.638375358469317,1.0046576193067691,0.58,0.579,0.37482890950396613,0.6348495147936617,0.706,0.27269013068268855,1.0344456131586657,0.8240619954075215,-0.34328148620476095,-0.7480164750134239,3.1057602823079273,0.8807586981880451,-0.2343265528003134,1.3576527138598051,2677,23.4,0.608,0.002,0.34,7.3,19.1,13.4,11.9,1.1,4.1,13.3,25.6,6.9,3.9,1.2718218869654971,1.4665707415194955,3.8,1.2,1.660988323027003,1.4851334068247235,0.045,4.87,4.37,1.1901267110593063,,Physical Play
1982,Alvan Adams,C,27,PHO,0.2713909730736543,0.3170212790132576,-1.1627297921822537,-0.37747784133838114,-0.288458982528817,0.494,-0.5514691906311875,-0.7882024229248512,0.0,-0.33539205707795794,-0.20966089960707582,0.494,0.494,-0.8975431704003154,-0.9959294253056739,0.781,-0.2899646185992385,0.7095783958030517,0.3982391651446391,0.3814238735608462,0.36667474265363825,0.4693330255787275,0.015931035884537672,0.6137124001913001,-0.5858364450216995,2393,18.6,0.529,0.001,0.227,6.6,20.2,13.6,22.1,2.3,1.9,14.8,22.8,2.5,4.7,0.06831914085086799,0.38814903922900584,1.4,2.2,1.0243559110310625,0.6924203836249251,0.0,3.45,3.05,0.26350206079722954,,Physical Play
1982,Tiny Archibald,PG,33,BOS,-1.7543487902261232,-1.3590564395959674,-0.6216354839948759,-1.4547070960668844,-1.2862876449845908,0.472,0.3216903612015262,-0.1980212983702829,0.375,-1.4632591516764009,-1.2758917942631343,0.475,0.477,-0.04929511713079418,-0.039955563868132475,0.747,-1.5090499087100808,-1.3324441132893787,-1.468830167546462,2.0724030463472634,-0.7480164750134239,-1.0815065372031545,0.18889656834523932,-1.9304044587835403,-1.1379640469766725,2167,14.3,0.542,0.025,0.485,1.3,4.5,2.9,31.9,1.1,0.1,18.4,17.9,3.4,1.8,-0.6193967140717774,-0.2633974059048311,1.4,-1.3,-0.567225118958789,-0.7100718881901026,0.0,6.38,6.35,1.6949296921722297,,Physical Play
1982,Greg Ballard,SF,27,WSB,0.2713909730736543,0.5963675654481284,1.204557806137526,0.47296630713148974,0.7387175817638912,0.475,0.3216903612015262,0.09706926390700117,0.409,0.39772155441102985,0.7677174204943115,0.476,0.479,-0.40273180599309466,-0.6022931294196272,0.83,-0.2899646185992385,0.988036010679292,0.5947727791121233,-0.24665410490267994,0.9240203514871695,-0.6162546683685899,-1.7137242887224773,-0.7431499245952812,0.23131240587166077,2946,17.9,0.519,0.017,0.217,5.1,18.1,11.7,13.1,2.2,0.4,7.7,22.0,4.1,5.3,0.824806581265778,0.6128202272061913,1.5,1.7,0.8424609361750796,0.9973100079325398,0.0,0.88,1.06,0.007643015575610877,,Physical Play
1982,Kent Benson,C,27,DET,-0.46524166812626483,0.10751156418710447,-0.28345154137776435,-0.9444406069849617,-0.9634607247783112,0.505,-0.5514691906311875,-0.493111860647567,0.273,-0.8993256043771793,-0.9500990208960054,0.508,0.507,-1.321667197035076,-1.44579947774687,0.804,0.8353448799646158,0.755987998282425,0.8240619954075215,-0.7781047020641253,-0.5622346054022469,0.9345848944132922,-0.6759310939582681,-0.2343265528003134,-1.1600491510548714,2467,14.4,0.539,0.014,0.197,9.4,19.9,14.5,8.8,1.2,2.2,15.5,16.3,2.2,3.0,-0.6193967140717774,-0.5779370690728904,0.0,0.4,-0.4308038878168018,-0.4661601887440109,0.0,-0.91,-0.63,-0.32428223227946196,,Physical Play
1982,Larry Bird,PF,25,BOS,-0.09692534752630529,-0.8702004383349434,1.441286565969505,1.2100179024720439,1.2963277166656468,0.503,0.3216903612015262,1.2774315130161376,0.212,1.1872285206299396,1.1823627684161115,0.514,0.507,0.5162035850488864,0.12874570579731642,0.863,0.5540175053236525,1.9162280602667607,1.544685246621631,1.0095018520243724,1.2955840907095235,0.31424906930053936,1.3996552955701493,0.27449681899465517,1.136801673077816,2923,22.6,0.557,0.037,0.269,7.7,23.4,15.8,22.5,2.3,1.2,13.8,25.2,6.8,5.7,1.8907661563958782,1.758643285889836,4.4,2.3,2.3885682224509353,2.521758129470614,0.588,6.38,6.35,1.6949296921722297,2.0,Physical Play
1982,Ron Brewer,SG,26,TOT,-1.017716149026204,-1.7780758692482737,-0.520180301209741,0.47296630713148974,0.7680654836008262,0.477,0.3216903612015262,0.3921598261842854,0.258,0.45411490914095176,0.7380998956427539,0.482,0.48,-0.4734191437655548,-0.6022931294196272,0.812,-1.1339467425221292,-1.2396249083306319,-1.3050521559068917,-0.5365362488089228,-0.19067086617989265,-0.4611707120904016,-1.3677932238010744,-1.5911888775868948,0.23131240587166077,2319,15.9,0.519,0.026,0.218,2.5,5.3,3.9,12.8,1.7,0.7,8.7,25.2,2.6,0.7,-1.2727267762482906,-1.3193519893976018,0.8,-1.1,-0.7036463501007764,-0.7710498130516256,0.0,0.0,0.0,-0.15831960835192554,,Physical Play
1982,Michael Brooks,SF,23,SDC,0.8238654539735936,0.1773481357958222,-0.08054117580749691,-0.32078156477372327,-0.288458982528817,0.504,-0.5514691906311875,-0.493111860647567,0.0,-0.278998702348036,-0.2392784244586329,0.507,0.504,-0.7561684948553951,-0.7709943990850759,0.757,0.46024171377666445,0.431120780926811,0.46375036980046697,-0.39159517685580153,0.36667474265363825,-0.30608675581221345,-0.15703449657616397,0.7833201907896229,-0.4754109246307049,2750,16.1,0.539,0.007,0.25,8.7,18.6,13.5,12.2,1.9,0.8,14.3,20.4,3.4,1.2,-0.8600972632947034,-1.0722136826226982,1.0,-0.7,-0.5217513752447933,-0.4661601887440109,0.0,-7.39,-7.05,-2.1844466421339312,,Physical Play
1982,Quinn Buckner,PG,27,MIL,-1.3860324696261637,-0.03216157903033094,-0.9936378208736979,-0.7743517772909877,-0.669981706408966,0.482,0.3216903612015262,-0.1980212983702829,0.267,-0.7865388949173354,-0.6539237723804335,0.486,0.484,-1.392354534807536,-1.2770982080814215,0.655,-0.8526193678811655,-0.7755288835368976,-0.8464737233160949,0.47805125486292727,2.410275308376586,-1.0815065372031545,0.18889656834523932,0.10488902839633231,-1.0717087347420755,2156,14.4,0.506,0.018,0.204,4.3,8.9,6.6,21.4,3.9,0.1,16.7,20.5,0.7,3.9,-0.8257114705485712,-0.5330028314774536,-1.2,2.1,-0.203435169246823,-0.4051822638824879,0.0,5.48,5.38,1.0241640871317708,,Physical Play
1982,Joe Barry Carroll,C,23,GSW,-0.28108350782628505,0.3170212790132576,0.2914611610713263,-0.09399645851509085,-0.1710673751810788,0.519,-0.5514691906311875,-0.7882024229248512,0.0,-0.05342528342834721,-0.09119080020084698,0.519,0.519,-0.3320444682206345,-0.2086568335335809,0.728,0.7415690884176279,0.6631687933236781,0.6930395860958657,-1.4061826805276514,-0.7480164750134239,1.5549207195260446,0.36186210080594094,0.7833201907896229,-0.16621946753591993,2627,15.9,0.557,0.001,0.318,8.6,17.9,13.1,3.4,1.2,2.7,15.1,20.9,2.6,2.9,-0.5162393358333807,-0.600404187870609,-0.4,-0.4,-0.9764888123847508,-0.8930056627746715,0.0,1.04,0.8,0.18052074883346134,,Physical Play
