player,season,MVP_rank,award_share,era,norm_vorp,norm_bpm,norm_ws,norm_ws_per_48,norm_pts_per_g,norm_ft_per_g,norm_fg_per_g,norm_fta_per_g,norm_fg2_per_g,norm_fga_per_g
Kareem Abdul-Jabbar,1982,,0.045,Physical Play,1.4851334068247235,1.660988323027003,1.2718218869654971,1.4665707415194955,1.3576527138598051,0.37482890950396613,1.6068918384246509,0.6348495147936617,1.638375358469317,0.9148049927854988
Alvan Adams,1982,,0.0,Physical Play,0.6924203836249251,1.0243559110310625,0.06831914085086799,0.38814903922900584,-0.5858364450216995,-0.8975431704003154,-0.37747784133838114,-0.9959294253056739,-0.33539205707795794,-0.288458982528817
Tiny Archibald,1982,,0.0,Physical Play,-0.7100718881901026,-0.567225118958789,-0.6193967140717774,-0.2633974059048311,-1.1379640469766725,-0.04929511713079418,-1.4547070960668844,-0.039955563868132475,-1.4632591516764009,-1.2862876449845908
Greg Ballard,1982,,0.0,Physical Play,0.9973100079325398,0.8424609361750796,0.824806581265778,0.6128202272061913,0.23131240587166077,-0.40273180599309466,0.47296630713148974,-0.6022931294196272,0.39772155441102985,0.7387175817638912
Kent Benson,1982,,0.0,Physical Play,-0.4661601887440109,-0.4308038878168018,-0.6193967140717774,-0.5779370690728904,-1.1600491510548714,-1.321667197035076,-0.9444406069849617,-1.44579947774687,-0.8993256043771793,-0.9634607247783112
Larry Bird,1982,2.0,0.588,Physical Play,2.521758129470614,2.3885682224509353,1.8907661563958782,1.758643285889836,1.136801673077816,0.5162035850488864,1.2100179024720439,0.12874570579731642,1.1872285206299396,1.2963277166656468
Ron Brewer,1982,,0.0,Physical Play,-0.7710498130516256,-0.7036463501007764,-1.2727267762482906,-1.3193519893976018,0.23131240587166077,-0.4734191437655548,0.47296630713148974,-0.6022931294196272,0.45411490914095176,0.7680654836008262
Michael Brooks,1982,,0.0,Physical Play,-0.4661601887440109,-0.5217513752447933,-0.8600972632947034,-1.0722136826226982,-0.4754109246307049,-0.7561684948553951,-0.32078156477372327,-0.7709943990850759,-0.278998702348036,-0.288458982528817
Quinn Buckner,1982,,0.0,Physical Play,-0.4051822638824879,-0.203435169246823,-0.8257114705485712,-0.5330028314774536,-1.0717087347420755,-1.392354534807536,-0.7743517772909877,-1.2770982080814215,-0.7865388949173354,-0.669981706408966
Joe Barry Carroll,1982,,0.0,Physical Play,-0.8930056627746715,-0.9764888123847508,-0.5162393358333807,-0.600404187870609,-0.16621946753591993,-0.3320444682206345,-0.09399645851509085,-0.2086568335335809,-0.05342528342834721,-0.1710673751810788
Bill Cartwright,1982,,0.0,Physical Play,-0.7100718881901026,-0.6126988626727848,-0.688168299564042,-0.24093028710711253,-0.7404321735690917,0.021392220641665974,-0.9444406069849617,0.016278192687017325,-0.8993256043771793,-1.2862876449845908
Tom Chambers,1982,,0.0,Physical Play,-1.441806986528378,-1.6131212243806916,-1.2727267762482906,-1.5215560585770687,-0.12204925937952224,-0.04929511713079418,-0.1506927350797492,0.5786157582385123,-0.10981863815826966,-0.288458982528817
Maurice Cheeks,1982,,0.0,Physical Play,0.9973100079325398,1.2971983733150372,0.5497202392967195,0.8824256527788139,-1.4471555040714574,-0.9682305081727752,-1.4547070960668844,-1.0521631818608235,-1.4632591516764009,-1.579766663353936
Michael Cooper,1982,,0.004,Physical Play,-0.4051822638824879,-0.203435169246823,-0.688168299564042,-0.39820011869114236,-1.2925597755240648,-1.2509798592626158,-1.1712257132435941,-1.3333319646365709,-1.124899023296868,-1.2275918413107214
Adrian Dantley,1982,,0.01,Physical Play,1.6680671814092922,1.2517246296010411,1.9251519491420104,1.3542351475309027,2.7710993748645367,3.13163508262991,2.343943433765205,3.0529010466650903,2.3150956152283824,1.6485025387088619
Brad Davis,1982,,0.0,Physical Play,-0.6490939633285797,-0.7036463501007764,-0.5506251285795128,-0.600404187870609,-1.248389567367667,-0.8975431704003154,-1.2846182663729104,-1.0521631818608235,-1.2940790874866344,-1.3449834486584598
Johnny Davis,1982,,0.0,Physical Play,-0.7710498130516256,-0.8855413249567594,-0.6537825068179098,-0.8026082570500759,-0.16621946753591993,0.16276689618658596,-0.2640852882090654,0.07251194924216663,-0.278998702348036,0.03436793767746262
John Drew,1982,,0.0,Physical Play,-0.6490939633285797,-0.47627763153079755,-0.5162393358333807,0.07360937606094682,0.16505709363706386,1.1523896250010275,-0.2640852882090654,1.3096545934554558,-0.22260534761811404,-0.08302366967027557
James Edwards,1982,,0.0,Physical Play,-1.0759394373592404,-1.158383787240734,-0.928868848786968,-1.0497465638249797,-0.23247477977051684,-0.40273180599309466,-0.09399645851509085,-0.15242307697843108,-0.05342528342834721,-0.1710673751810788
Alex English,1982,,0.017,Physical Play,1.3021996322401548,1.115303398459054,0.8591923740119101,0.5678859896107542,1.688929275032789,0.6575782605938068,1.8903732212479412,0.40991448857306395,1.9203421321189278,1.4430672258503194
Julius Erving,1982,3.0,0.294,Physical Play,2.7656698289167054,2.8887794033048886,2.1658524983649365,2.297854137035081,1.4680782342507999,1.081702287228567,1.4368030087306762,1.1409533237900074,1.4691952942795503,1.0615445019701715
World B. Free,1982,,0.0,Physical Play,-0.283226414159442,-0.3853301441028061,-0.03483823738752876,-0.19599604951167574,1.136801673077816,1.7885756649531679,0.6997514133901221,2.0406934286724,0.6796883280606401,1.3550235203395167
George Gervin,1982,6.0,0.159,Physical Play,1.1802437825171088,1.1607771421730497,1.2718218869654971,1.24189955354231,3.212801456428514,2.424761704905309,3.137691305670418,1.9282259155621002,3.0482092267173706,3.2919850415771945
