season,num_players,num_vote_getters,mse,mae,r2
1982,76.0,25.0,0.0038692737328497235,0.021825866947832864,0.7090425605030507
1988,82.0,17.0,0.00750926312846555,0.02309024818350629,0.5857695593767756
2005,103.0,16.0,0.018427502494550396,0.03906008877641367,-0.2763428391751359
2006,93.0,11.0,0.011468122573580566,0.032489588189669835,0.13973313614869343
2009,106.0,12.0,0.005012251900462727,0.017136343628449263,0.6728042069179174
2010,108.0,15.0,0.003349770688252801,0.0164123734889759,0.7661635086601822
2021,64.0,10.0,0.002828189286412363,0.017734970306511968,0.8496435310457565
