season,num_players,num_vote_getters,mse,mae,r2
1982,76.0,25.0,0.0069513529243574795,0.027780355016161735,0.4772797202897624
1988,82.0,17.0,0.005980431051670453,0.01730743366879661,0.6701039040355915
2006,93.0,11.0,0.0111186925326769,0.03192030450309156,0.16594519339650637
2007,99.0,15.0,0.00746813914415137,0.019756578550495285,0.5284028312993119
2010,108.0,15.0,0.0035523605355499946,0.016030495292610594,0.7520213767109191
2011,100.0,13.0,0.007612718503120376,0.024354642344713212,0.4972099799946912
2021,64.0,10.0,0.0034925301804863327,0.015572309907525776,0.8143248373873211
