season,num_players,num_vote_getters,mse,mae,r2
1982,76.0,25.0,0.004081745421882978,0.025180663594810637,0.6930653454298807
1988,82.0,17.0,0.006217532126891222,0.02233053429135996,0.6570247934516735
2006,93.0,11.0,0.01054368317252638,0.03495779183935324,0.20907880099165022
2007,99.0,15.0,0.008173852213155133,0.027259904243852804,0.48383854576134244
2010,108.0,15.0,0.005190653562294041,0.02393924807092925,0.6376575205509218
2011,100.0,13.0,0.006855755423605977,0.02822916056611575,0.5472044046849412
2021,64.0,10.0,0.003192786937970131,0.02131913687845372,0.8302602402099526
