season,num_players,num_vote_getters,mse,mae,r2
1982,76.0,25.0,0.005867216095379015,0.028013271754754612,0.5588034628841112
1988,82.0,17.0,0.00554258657830054,0.018235894941429538,0.6942565413883759
2006,93.0,11.0,0.011327845194583876,0.03465147841793875,0.150255868193498
2007,99.0,15.0,0.009634224197545197,0.02598532471008072,0.391619148158458
2010,108.0,15.0,0.004990769491514506,0.02076505514261899,0.6516107711270637
2011,100.0,13.0,0.008664306757468347,0.027830861401893198,0.42775672499462203
2021,64.0,10.0,0.0037723886579473526,0.020238805347005836,0.7994465784673436
