season,num_players,num_vote_getters,mse,mae,r2
1989,100.0,18.0,0.0065849848909771014,0.02045111853785813,0.5071377182241938
1996,108.0,14.0,0.0020503679247456615,0.015574407638660717,0.8392756495318962
2001,89.0,17.0,0.014909211576858972,0.030288498685792028,0.1015102072828431
2003,94.0,12.0,0.008907214295351155,0.022715039192928013,0.4183128462719834
2005,103.0,16.0,0.014930587793984146,0.030772357242836307,-0.034136276533566434
2011,100.0,13.0,0.011756848398778134,0.025955504332864657,0.22350655167426858
2021,64.0,10.0,0.006274435122555723,0.023700292208575773,0.6664290066289389
