season,score,accuracy
2015,2.8000000000000003,0.56
2016,4.199999999999999,0.8399999999999999
2017,3.6,0.72
2018,3.6,0.72
2019,3.2,0.64
2020,4.0,0.8
2021,3.2,0.64
2022,3.4000000000000004,0.68
