season,num_players,num_vote_getters,mse,mae,r2
2015,89.0,12.0,0.009409055835519,0.025303996541568737,0.46997391574802583
2016,97.0,10.0,0.003304797530069053,0.015413273670240162,0.7939364563399718
2017,91.0,11.0,0.004546185875599454,0.021323275297716427,0.7442970401077186
2018,88.0,12.0,0.0044623465293756855,0.02054752847340635,0.7580191660495177
2019,84.0,11.0,0.006506869002190564,0.02129648824869877,0.6549062387241702
2020,70.0,11.0,0.009520621683811606,0.026701625274973256,0.5721399499416173
2021,64.0,10.0,0.003915263856452775,0.01839840220659971,0.7918508314458765
2022,89.0,9.0,0.004594828850327486,0.017277623076536013,0.7464210616225221
